Mix_ID;Cement;Water;NCA;NFA;RCA_P;MRCA_P;RFA_P;Silica_Fume;Fly_Ash;RHA_P;Nylon_Fiber;Fiber_Type;SP;W_C;Agg_Size;Slump;Density;CS_7;CS_28;CS_90;STS;FS;EM;Water_Abs;UPV;Shrinkage;Carb_Depth;Cl_Perm;CO2;Energy;Cost;ACV;Sp_Gravity;Sustainability;Is_Synthetic
Synthetic_Mix_245;265.2;190.5;1112.4;748.2;0;0;0;110.2;0;0;0;0;0.7;0.507;19.2;2.2;1102.1;0;23.15;0;2.65;3.13;22.61;0;3779;0;0;0;237.42;0;80.78;0;0;0.0002;1
Synthetic_Mix_246;465.2;145.2;932.1;608.4;0;0;45.8;0;0;0;0;0;0.3;0.312;14.2;32.1;2400;0;39.85;0;1.45;4.1;29.67;0;4196;0;0;0;403.33;0;68.25;0;0;0.0003;1
Synthetic_Mix_247;375.2;168.2;258.1;738.2;69.5;0;0;0;0;0;0;0;0.44;0.448;16.8;8.1;2400;0;32.42;0;0.26;3.7;26.76;0;4010;0;0;0;324.21;0;50.91;0;0;0.0004;1
Synthetic_Mix_248;305.2;182.1;0;862.1;100;0;0;0;0;0;0;0;0.58;0.597;19.1;2;1112.4;0;26.25;0;2.82;3.33;24.08;0;3856;0;0;0;264.14;0;41.74;0;0;0.0004;1
Synthetic_Mix_249;440.2;151.4;608.2;658.1;26.93;0;35.8;0;0;0;0;0;0.32;0.344;16.4;82.5;1082.1;0;38.12;0;0.52;4.01;29.02;0;4153;0;0;0;380.73;0;61.52;0;0;0.0003;1
Synthetic_Mix_250;352.1;173.4;1005.2;715.2;0;45.2;0;0;0;0;0;0;0.48;0.492;18.4;19.5;1522.4;0;30.52;0;0.55;3.59;25.97;0;3963;0;0;0;308.22;0;59.59;0;0;0.0003;1
Synthetic_Mix_251;400.2;162.4;682.1;705.2;25.22;0;18.5;0;0;0;0;0;0.39;0.406;19.1;23.5;2400;0;35.42;0;0.6;3.87;27.97;0;4086;0;0;0;347.38;0;59.3;0;0;0.0003;1
Synthetic_Mix_252;275.2;190.2;1085.2;765.2;0;0;0;105.1;0;0;0;0;0.68;0.5;19.4;14.2;2400;0;24.45;0;2.72;3.21;23.24;0;3811;0;0;0;245.75;0;80.28;0;0;0.0002;1
Synthetic_Mix_253;455.1;146.2;968.1;625.2;0;0;42.1;0;0;0;0;0;0.3;0.321;15.1;34.5;2400;0;39.82;0;1.35;4.1;29.66;0;4196;0;0;0;395.01;0;67.98;0;0;0.0003;1
Synthetic_Mix_254;382.4;166.2;355.2;735.1;58.49;0;0;0;0;0;0;0;0.42;0.435;17.2;6.5;2400;0;33.45;0;0.22;3.76;27.18;0;4036;0;0;0;330.79;0;53.02;0;0;0.0003;1
Synthetic_Mix_255;312.4;180.2;0;882.1;100;0;0;0;0;0;0;0;0.56;0.577;19.2;2.1;1105.2;0;26.52;0;2.83;3.35;24.2;0;3863;0;0;0;270.34;0;42.67;0;0;0.0004;1
Synthetic_Mix_256;485.2;138.2;920.1;635.2;0;0;0;0;0;0;0;0;0.28;0.285;15.2;0;2400;0;41.82;0;3.56;4.2;30.39;0;4246;0;0;0;420.39;0;70.36;0;0;0.0002;1
Synthetic_Mix_257;358.1;168.1;815.2;705.1;13.31;0;0;35.1;0;0;0;0;0.46;0.428;19.1;20.1;2400;0;30.52;0;3.04;1.22;25.97;0;3963;0;0;0;313.01;0;65.96;0;0;0.0003;1
Synthetic_Mix_258;288.2;188.2;1028.1;780.2;0;0;0;85.2;0;0;0;0;0.64;0.504;19.5;12.1;2400;0;24.52;0;2.72;3.22;23.27;0;3813;0;0;0;256.16;0;75.86;0;0;0.0002;1
Synthetic_Mix_259;422.4;152.4;542.1;662.4;36.54;0;32.4;0;0;0;0;0;0.35;0.361;17.5;52.4;2400;0;36.85;0;0.82;3.95;28.53;0;4121;0;0;0;365.31;0;58.85;0;0;0.0003;1
Synthetic_Mix_260;348.1;174.5;1082.4;725.1;0;0;0;0;0.62;0.52;0;0;0.5;0.5;19.2;3.2;2400;0;30.42;15.1;1.35;1.6;25.92;1.25;3960;0;0;0;305.28;0;60.52;0;0.5;0.0003;1
Synthetic_Mix_261;392.1;163.5;768.1;715.2;15.9;0;14.2;0;0;0;0;0;1.52;0.417;15.2;30.2;2400;0;34.25;0;3.22;1.08;27.51;0;4056;0;0;0;341.77;0;61.59;0;0;0.0003;1
Synthetic_Mix_262;262.5;191.5;1132.1;765.2;0;0;0;125.2;0;0;0;0;0.7;0.494;19.1;2.5;1105.2;0;22.52;0;2.61;3.08;22.3;0;3763;0;0;0;235.61;0;84.76;0;0;0.0002;1
Synthetic_Mix_263;475.2;143.2;938.2;605.1;0;0;55.2;0;0;0;0;0;0.28;0.301;14.2;30.2;2400;0;41.52;0;1.52;4.19;30.28;0;4238;0;0;0;411.83;0;69.27;0;0;0.0003;1
Synthetic_Mix_264;372.4;163.1;218.2;745.2;74.22;0;0;0;0;0;0;0;0.42;0.438;16.4;6.2;2400;0;32.42;0;0.26;3.7;26.76;0;4010;0;0;0;321.65;0;50.09;0;0;0.0004;1
Synthetic_Mix_265;302.1;183.4;0;848.2;100;0;0;0;0;0;0;0;0.58;0.607;19.2;2;1048.2;0;26.25;0;2.82;3.33;24.08;0;3856;0;0;0;261.43;0;41.26;0;0;0.0004;1
